Name,Location,Phone Number
超級童星幼兒運動體適能班,荃灣,2187 2048
梓峰教育 Dunn's Education - 藍田,藍田,2340 0899
Jolly Kingdom English Learning Centre - 香港仔 (華貴坊),香港仔,2896 6028
KUMON HOMEWORLD EDUCATION CENTRE 公文式家居庭教育中心,紅磡,23309129/ 60107862
Fleurman Floral Design,葵芳,+852 9380 2335
KUMON TUEN MUN LUNG MUN OASIS EDUCATION CENTRE 公文式屯門龍門居教育中心,屯門,51107117
KUMON FUN LAND EDUCATION CENTRE - DAWNING VIEWS公文式樂天教育中心 - 牽晴間,粉嶺,27109848/ 91312565
KUMON MONG KOK EDUCATION CENTRE 公文式旺角教育中心,旺角,21625687/ 64077926
Brain Up Education Centre,鰂魚涌,2567 0686 / 2338 0686
KUMON TRULY TALENT EDUCATION CENTRE 公文式毅才教育中心,太古,25603782/ 56289365
香港花式跳繩會 - Super Jump,將軍澳,56952863
Petite Princess Academy of Dance 小公主舞蹈學院 坑口,將軍澳,2187 3878
Petite Princess Academy of Dance 小公主舞蹈學院 坑口,將軍澳,2187 3878
KUMON APEX EDUCATION CENTRE 公文式承峯教育中心,將軍澳,21771701
創意學堂 - 九龍塘,九龍塘,2809 2000
Infinity Learning 苗成長教室 - 奧運站,大角咀,2626 9720
Red Academy - Shek Mun,沙田,3752 2191
小北京中文教育中心 -  北角分校,北角,2321-0032 / 9328-4753
Monkey Tree English Learning Center - 藍田匯景,藍田,2267-8898
KC Education Centre 匯進教育中心 - 油麻地,油麻地,23320816
Monkey Tree English Learning Center - 小西灣,柴灣,3575-9502
超級童星幼兒運動體適能班,荃灣,2187 2048
梓峰教育 Dunn's Education - 藍田,藍田,2340 0899
Jolly Kingdom English Learning Centre - 香港仔 (華貴坊),香港仔,2896 6028
KUMON HOMEWORLD EDUCATION CENTRE 公文式家居庭教育中心,紅磡,23309129/ 60107862
Fleurman Floral Design,葵芳,+852 9380 2335
KUMON TUEN MUN LUNG MUN OASIS EDUCATION CENTRE 公文式屯門龍門居教育中心,屯門,51107117
KUMON FUN LAND EDUCATION CENTRE - DAWNING VIEWS公文式樂天教育中心 - 牽晴間,粉嶺,27109848/ 91312565
KUMON MONG KOK EDUCATION CENTRE 公文式旺角教育中心,旺角,21625687/ 64077926
Brain Up Education Centre,鰂魚涌,2567 0686 / 2338 0686
KUMON TRULY TALENT EDUCATION CENTRE 公文式毅才教育中心,太古,25603782/ 56289365
香港花式跳繩會 - Super Jump,將軍澳,56952863
